code,name,department
001,Medellín,05
002,Abejorral,05
004,Abriaquí,05
021,Alejandría,05
030,Amagá,05
031,Amalfi,05
034,Andes,05
036,Angelópolis,05
038,Angostura,05
040,Anorí,05
042,Santafé de Antioquia,05
044,Anza,05
045,Apartadó,05
051,Arboletes,05
055,Argelia,05
059,Armenia,05
079,Barbosa,05
086,Belmira,05
088,Bello,05
091,Betania,05
093,Betulia,05
101,Ciudad Bolívar,05
107,Briceño,05
113,Buriticá,05
120,Cáceres,05
125,Caicedo,05
129,Caldas,05
134,Campamento,05
138,Cañasgordas,05
142,Caracolí,05
145,Caramanta,05
147,Carepa,05
148,El Carmen de Viboral,05
150,Carolina,05
154,Caucasia,05
172,Chigorodó,05
190,Cisneros,05
197,Cocorná,05
206,Concepción,05
209,Concordia,05
212,Copacabana,05
234,Dabeiba,05
237,Don Matías,05
240,Ebéjico,05
250,El Bagre,05
264,Entrerrios,05
266,Envigado,05
282,Fredonia,05
284,Frontino,05
306,Giraldo,05
308,Girardota,05
310,Gómez Plata,05
313,Granada,05
315,Guadalupe,05
318,Guarne,05
321,Guatape,05
347,Heliconia,05
353,Hispania,05
360,Itagui,05
361,Ituango,05
364,Jardín,05
368,Jericó,05
376,La Ceja,05
380,La Estrella,05
390,La Pintada,05
400,La Unión,05
411,Liborina,05
425,Maceo,05
440,Marinilla,05
467,Montebello,05
475,Murindó,05
480,Mutatá,05
483,Nariño,05
490,Necoclí,05
495,Nechí,05
501,Olaya,05
541,Peñol,05
543,Peque,05
576,Pueblorrico,05
579,Puerto Berrío,05
585,Puerto Nare,05
591,Puerto Triunfo,05
604,Remedios,05
607,Retiro,05
615,Rionegro,05
628,Sabanalarga,05
631,Sabaneta,05
642,Salgar,05
647,San Andrés de Cuerquía,05
649,San Carlos,05
652,San Francisco,05
656,San Jerónimo,05
658,San José de la Montaña,05
659,San Juan de Urabá,05
660,San Luis,05
664,San Pedro,05
665,San Pedro de Uraba,05
667,San Rafael,05
670,San Roque,05
674,San Vicente,05
679,Santa Bárbara,05
686,Santa Rosa de Osos,05
690,Santo Domingo,05
697,El Santuario,05
736,Segovia,05
756,Sonson,05
761,Sopetrán,05
789,Támesis,05
790,Tarazá,05
792,Tarso,05
809,Titiribí,05
819,Toledo,05
837,Turbo,05
842,Uramita,05
847,Urrao,05
854,Valdivia,05
856,Valparaíso,05
858,Vegachí,05
861,Venecia,05
873,Vigía del Fuerte,05
885,Yalí,05
887,Yarumal,05
890,Yolombó,05
893,Yondó,05
895,Zaragoza,05
001,Barranquilla,08
078,Baranoa,08
137,Campo de la Cruz,08
141,Candelaria,08
296,Galapa,08
372,Juan de Acosta,08
421,Luruaco,08
433,Malambo,08
436,Manatí,08
520,Palmar de Varela,08
549,Piojó,08
558,Polonuevo,08
560,Ponedera,08
573,Puerto Colombia,08
606,Repelón,08
634,Sabanagrande,08
638,Sabanalarga,08
675,Santa Lucía,08
685,Santo Tomás,08
758,Soledad,08
770,Suan,08
832,Tubará,08
849,Usiacurí,08
001,"Bogotá, D.C.",11
001,Cartagena,13
006,Achí,13
030,Altos del Rosario,13
042,Arenal,13
052,Arjona,13
062,Arroyohondo,13
074,Barranco de Loba,13
140,Calamar,13
160,Cantagallo,13
188,Cicuco,13
212,Córdoba,13
222,Clemencia,13
244,El Carmen de Bolívar,13
248,El Guamo,13
268,El Peñón,13
300,Hatillo de Loba,13
430,Magangué,13
433,Mahates,13
440,Margarita,13
442,María la Baja,13
458,Montecristo,13
468,Mompós,13
473,Morales,13
490,Norosí,13
549,Pinillos,13
580,Regidor,13
600,Río Viejo,13
620,San Cristóbal,13
647,San Estanislao,13
650,San Fernando,13
654,San Jacinto,13
655,San Jacinto del Cauca,13
657,San Juan Nepomuceno,13
667,San Martín de Loba,13
670,San Pablo,13
673,Santa Catalina,13
683,Santa Rosa,13
688,Santa Rosa del Sur,13
744,Simití,13
760,Soplaviento,13
780,Talaigua Nuevo,13
810,Tiquisio,13
836,Turbaco,13
838,Turbaná,13
873,Villanueva,13
894,Zambrano,13
001,Tunja,15
022,Almeida,15
047,Aquitania,15
051,Arcabuco,15
087,Belén,15
090,Berbeo,15
092,Betéitiva,15
097,Boavita,15
104,Boyacá,15
106,Briceño,15
109,Buenavista,15
114,Busbanzá,15
131,Caldas,15
135,Campohermoso,15
162,Cerinza,15
172,Chinavita,15
176,Chiquinquirá,15
180,Chiscas,15
183,Chita,15
185,Chitaraque,15
187,Chivatá,15
189,Ciénega,15
204,Cómbita,15
212,Coper,15
215,Corrales,15
218,Covarachía,15
223,Cubará,15
224,Cucaita,15
226,Cuítiva,15
232,Chíquiza,15
236,Chivor,15
238,Duitama,15
244,El Cocuy,15
248,El Espino,15
272,Firavitoba,15
276,Floresta,15
293,Gachantivá,15
296,Gameza,15
299,Garagoa,15
317,Guacamayas,15
322,Guateque,15
325,Guayatá,15
332,Güicán,15
362,Iza,15
367,Jenesano,15
368,Jericó,15
